"DATE,""TIME PERIOD"",""HICP - Overall index (ICP.M.AT.N.000000.4.ANR)"",""HICP - Energy (ICP.M.AT.N.NRGY00.4.ANR)"",""(LFSI.M.AT.S.UNEHRT.TOTAL0.15_74.T)"""
"2012-11-30,""2012Nov"",""2.9"",""2.6"",""5.481708"""
"2012-12-31,""2012Dec"",""2.9"",""2.2"",""5.366155"""
"2013-01-31,""2013Jan"",""2.8"",""1.9"",""5.958523"""
"2013-02-28,""2013Feb"",""2.6"",""2.2"",""5.648757"""
"2013-03-31,""2013Mar"",""2.4"",""-0.9"",""5.943614"""
"2013-04-30,""2013Apr"",""2.1"",""-2.6"",""5.416669"""
"2013-05-31,""2013May"",""2.4"",""-1.4"",""5.433601"""
"2013-06-30,""2013Jun"",""2.2"",""0.8"",""5.508755"""
"2013-07-31,""2013Jul"",""2.1"",""0.8"",""5.727094"""
"2013-08-31,""2013Aug"",""2.0"",""-1.8"",""5.547014"""
"2013-09-30,""2013Sep"",""1.8"",""-2.6"",""5.910014"""
"2013-10-31,""2013Oct"",""1.5"",""-3.6"",""5.847604"""
"2013-11-30,""2013Nov"",""1.5"",""-2.7"",""5.935023"""
"2013-12-31,""2013Dec"",""2.0"",""-1.3"",""5.875982"""
"2014-01-31,""2014Jan"",""1.5"",""-2.1"",""6.316926"""
"2014-02-28,""2014Feb"",""1.5"",""-3.1"",""5.844397"""
"2014-03-31,""2014Mar"",""1.5"",""-2.2"",""6.240439"""
"2014-04-30,""2014Apr"",""1.6"",""-1.3"",""5.538124"""
"2014-05-31,""2014May"",""1.5"",""-0.6"",""5.884638"""
"2014-06-30,""2014Jun"",""1.7"",""-0.4"",""6.167881"""
"2014-07-31,""2014Jul"",""1.7"",""-1.5"",""6.202467"""
"2014-08-31,""2014Aug"",""1.5"",""-2.3"",""5.875996"""
"2014-09-30,""2014Sep"",""1.4"",""-1.8"",""6.131217"""
"2014-10-31,""2014Oct"",""1.4"",""-1.6"",""6.052727"""
"2014-11-30,""2014Nov"",""1.5"",""-2.4"",""6.177265"""
"2014-12-31,""2014Dec"",""0.8"",""-7.0"",""6.150520"""
"2015-01-31,""2015Jan"",""0.5"",""-9.4"",""5.859973"""
"2015-02-28,""2015Feb"",""0.5"",""-8.6"",""5.925825"""
"2015-03-31,""2015Mar"",""0.9"",""-6.4"",""6.205652"""
"2015-04-30,""2015Apr"",""0.9"",""-6.2"",""6.203583"""
"2015-05-31,""2015May"",""1.0"",""-5.2"",""6.395057"""
"2015-06-30,""2015Jun"",""1.0"",""-5.4"",""6.216324"""
"2015-07-31,""2015Jul"",""1.1"",""-6.0"",""6.053931"""
"2015-08-31,""2015Aug"",""1.0"",""-7.9"",""5.931576"""
"2015-09-30,""2015Sep"",""0.6"",""-10.3"",""6.186022"""
"2015-10-31,""2015Oct"",""0.7"",""-10.1"",""5.997401"""
"2015-11-30,""2015Nov"",""0.5"",""-8.6"",""6.594669"""
"2015-12-31,""2015Dec"",""1.1"",""-6.3"",""6.321775"""
"2016-01-31,""2016Jan"",""1.4"",""-5.7"",""6.745661"""
"2016-02-29,""2016Feb"",""1.0"",""-8.0"",""6.329420"""
"2016-03-31,""2016Mar"",""0.7"",""-9.1"",""6.262359"""
"2016-04-30,""2016Apr"",""0.6"",""-8.0"",""6.313071"""
"2016-05-31,""2016May"",""0.6"",""-7.2"",""6.776753"""
"2016-06-30,""2016Jun"",""0.6"",""-6.1"",""6.714328"""
"2016-07-31,""2016Jul"",""0.6"",""-6.3"",""6.574822"""
"2016-08-31,""2016Aug"",""0.6"",""-5.0"",""6.800882"""
"2016-09-30,""2016Sep"",""1.1"",""-2.2"",""6.471667"""
"2016-10-31,""2016Oct"",""1.4"",""0.3"",""6.365608"""
"2016-11-30,""2016Nov"",""1.5"",""-0.2"",""6.168623"""
"2016-12-31,""2016Dec"",""1.6"",""2.9"",""5.991400"""
"2017-01-31,""2017Jan"",""2.1"",""6.7"",""6.300555"""
"2017-02-28,""2017Feb"",""2.4"",""8.0"",""6.061852"""
"2017-03-31,""2017Mar"",""2.1"",""6.2"",""6.072702"""
"2017-04-30,""2017Apr"",""2.3"",""4.8"",""5.960662"""
"2017-05-31,""2017May"",""2.1"",""1.6"",""6.053715"""
"2017-06-30,""2017Jun"",""2.0"",""-0.9"",""5.563163"""
"2017-07-31,""2017Jul"",""2.0"",""-0.5"",""5.879562"""
"2017-08-31,""2017Aug"",""2.1"",""1.2"",""6.039829"""
"2017-09-30,""2017Sep"",""2.5"",""1.7"",""5.742819"""
"2017-10-31,""2017Oct"",""2.4"",""1.1"",""5.624136"""
"2017-11-30,""2017Nov"",""2.4"",""2.9"",""6.093604"""
"2017-12-31,""2017Dec"",""2.3"",""1.9"",""5.755529"""
"2018-01-31,""2018Jan"",""1.9"",""0.7"",""5.632225"""
"2018-02-28,""2018Feb"",""1.9"",""0.2"",""5.406250"""
"2018-03-31,""2018Mar"",""2.0"",""0.3"",""5.263177"""
"2018-04-30,""2018Apr"",""2.0"",""1.9"",""5.053410"""
"2018-05-31,""2018May"",""2.1"",""5.4"",""4.892117"""
"2018-06-30,""2018Jun"",""2.3"",""7.8"",""5.035926"""
"2018-07-31,""2018Jul"",""2.3"",""8.1"",""5.270360"""
"2018-08-31,""2018Aug"",""2.3"",""8.0"",""5.374942"""
"2018-09-30,""2018Sep"",""2.1"",""7.8"",""5.347887"""
"2018-10-31,""2018Oct"",""2.4"",""10.1"",""5.239819"""
"2018-11-30,""2018Nov"",""2.3"",""8.8"",""4.860935"""
"2018-12-31,""2018Dec"",""1.7"",""4.8"",""5.224276"""
"2019-01-31,""2019Jan"",""1.7"",""2.3"",""4.953536"""
"2019-02-28,""2019Feb"",""1.4"",""2.9"",""5.108042"""
"2019-03-31,""2019Mar"",""1.7"",""4.5"",""5.055264"""
"2019-04-30,""2019Apr"",""1.7"",""4.2"",""5.063355"""
"2019-05-31,""2019May"",""1.7"",""2.7"",""4.866315"""
"2019-06-30,""2019Jun"",""1.6"",""0.5"",""4.590038"""
"2019-07-31,""2019Jul"",""1.4"",""0.6"",""4.857165"""
"2019-08-31,""2019Aug"",""1.5"",""0.0"",""4.967630"""
"2019-09-30,""2019Sep"",""1.2"",""-1.0"",""4.503403"""
"2019-10-31,""2019Oct"",""1.0"",""-3.6"",""4.857342"""
"2019-11-30,""2019Nov"",""1.2"",""-3.8"",""4.323901"""
"2019-12-31,""2019Dec"",""1.8"",""-0.4"",""4.526231"""
"2020-01-31,""2020Jan"",""2.2"",""3.1"",""4.477605"""
"2020-02-29,""2020Feb"",""2.2"",""1.3"",""4.631427"""
"2020-03-31,""2020Mar"",""1.6"",""-3.2"",""4.941285"""
"2020-04-30,""2020Apr"",""1.5"",""-6.5"",""6.070374"""
"2020-05-31,""2020May"",""0.6"",""-10.0"",""7.240349"""
"2020-06-30,""2020Jun"",""1.1"",""-8.7"",""7.668564"""
"2020-07-31,""2020Jul"",""1.8"",""-7.5"",""6.702330"""
"2020-08-31,""2020Aug"",""1.4"",""-7.1"",""6.370687"""
"2020-09-30,""2020Sep"",""1.2"",""-7.7"",""6.224381"""
"2020-10-31,""2020Oct"",""1.1"",""-8.6"",""5.996921"""
"2020-11-30,""2020Nov"",""1.1"",""-8.6"",""6.087162"""
"2020-12-31,""2020Dec"",""1.0"",""-7.1"",""6.751860"""
"2021-01-31,""2021Jan"",""1.1"",""-5.3"",""7.432620"""
"2021-02-28,""2021Feb"",""1.4"",""-1.6"",""7.072067"""
"2021-03-31,""2021Mar"",""2.0"",""4.1"",""6.876336"""
"2021-04-30,""2021Apr"",""1.9"",""6.8"",""7.211114"""
"2021-05-31,""2021May"",""3.0"",""10.6"",""6.707518"""
"2021-06-30,""2021Jun"",""2.8"",""11.1"",""6.300916"""
"2021-07-31,""2021Jul"",""2.8"",""12.1"",""5.887476"""
"2021-08-31,""2021Aug"",""3.2"",""13.5"",""5.852228"""
"2021-09-30,""2021Sep"",""3.3"",""14.7"",""4.993471"""
"2021-10-31,""2021Oct"",""3.8"",""20.6"",""5.660041"""
"2021-11-30,""2021Nov"",""4.1"",""23.8"",""5.113030"""
"2021-12-31,""2021Dec"",""3.8"",""22.3"",""4.928938"""
"2022-01-31,""2022Jan"",""4.5"",""21.3"",""4.668409"""
"2022-02-28,""2022Feb"",""5.5"",""26.9"",""4.852070"""
"2022-03-31,""2022Mar"",""6.6"",""38.4"",""4.419056"""
"2022-04-30,""2022Apr"",""7.1"",""37.6"",""4.495671"""
"2022-05-31,""2022May"",""7.7"",""36.3"",""4.506096"""
"2022-06-30,""2022Jun"",""8.7"",""42.7"",""4.378409"""
"2022-07-31,""2022Jul"",""9.4"",""47.0"",""4.500690"""
"2022-08-31,""2022Aug"",""9.3"",""40.2"",""4.981374"""
"2022-09-30,""2022Sep"",""11.0"",""56.7"",""5.178208"""
"2022-10-31,""2022Oct"",""11.6"",""52.6"",""4.705884"""
"2022-11-30,""2022Nov"",""11.2"",""45.1"",""5.222776"""
"2022-12-31,""2022Dec"",""10.5"",""29.8"",""4.916201"""
"2023-01-31,""2023Jan"",""11.6"",""38.4"",""5.238170"""
"2023-02-28,""2023Feb"",""11.0"",""28.3"",""5.061677"""
"2023-03-31,""2023Mar"",""9.2"",""11.6"",""4.521669"""
"2023-04-30,""2023Apr"",""9.4"",""12.6"",""5.146820"""
"2023-05-31,""2023May"",""8.7"",""11.0"",""4.822952"""
"2023-06-30,""2023Jun"",""7.8"",""4.6"",""5.013428"""
"2023-07-31,""2023Jul"",""7.0"",""-1.4"",""5.500351"""
"2023-08-31,""2023Aug"",""7.5"",""5.9"",""5.369063"""
"2023-09-30,""2023Sep"",""5.8"",""-4.4"",""5.357401"""
"2023-10-31,""2023Oct"",""4.9"",""-5.7"",""5.033672"""
"2023-11-30,""2023Nov"",""4.9"",""-5.3"",""4.983299"""
"2023-12-31,""2023Dec"",""5.7"",""3.0"",""5.474525"""
"2024-01-31,""2024Jan"",""4.3"",""-4.3"",""4.906118"""
"2024-02-29,""2024Feb"",""4.0"",""-3.8"",""4.740650"""
"2024-03-31,""2024Mar"",""4.1"",""-0.9"",""5.000602"""
"2024-04-30,""2024Apr"",""3.4"",""-1.7"",""4.963390"""
"2024-05-31,""2024May"",""3.3"",""-1.8"",""5.181403"""
"2024-06-30,""2024Jun"",""3.1"",""-2.4"",""5.198274"""
"2024-07-31,""2024Jul"",""2.9"",""-1.7"",""5.112935"""
"2024-08-31,""2024Aug"",""2.4"",""-7.0"",""5.336313"""
"2024-09-30,""2024Sep"",""1.8"",""-10.5"",""5.584990"""
"2024-10-31,""2024Oct"",""1.8"",""-12.3"",""5.602884"""
"2024-11-30,""2024Nov"",""1.9"",""-10.4"",""5.088136"""
"2024-12-31,""2024Dec"",""2.1"",""-7.8"",""5.425908"""
"2025-01-31,""2025Jan"",""3.4"",""5.2"",""5.465365"""
"2025-02-28,""2025Feb"",""3.4"",""6.0"",""5.266807"""
"2025-03-31,""2025Mar"",""3.1"",""5.0"",""5.589279"""
"2025-04-30,""2025Apr"",""3.3"",""3.7"",""5.553922"""
"2025-05-31,""2025May"",""3.0"",""4.1"",""5.543114"""
"2025-06-30,""2025Jun"",""3.2"",""6.0"",""5.936577"""
"2025-07-31,""2025Jul"",""3.7"",""7.0"",""5.472871"""
"2025-08-31,""2025Aug"",""4.1"",""8.6"",""5.844923"""
"2025-09-30,""2025Sep"",""3.9"",""10.1"""
